,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Keywords,Organization Categories
7787,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7788,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7789,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7790,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7791,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7792,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7793,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,True,False,False,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7794,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,10.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7795,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7796,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
